tconst	averageRating	numVotes
tt1068600	8.4	11
tt10699300	7.0	319
tt10708150	8.0	26
tt10712436	7.8	13
tt1071624	8.2	211
tt10719524	6.6	143
tt10731470	6.1	31
tt10738442	6.7	1301
tt10750456	8.9	12
tt10752744	8.4	9
tt10765706	7.9	24
tt1084172	4.9	55
tt1084587	5.0	1354
tt1084588	7.0	10
tt10854760	7.3	609
tt10858622	6.9	14
tt1086238	8.6	38
tt1088084	7.4	9
tt10883220	6.2	6
tt1092504	7.3	58
tt10930094	3.0	21
tt10931212	7.7	13
tt10934170	5.5	450
tt1094232	2.0	35
tt1094354	2.6	160
tt1095213	3.3	2262
tt10968530	5.7	72
tt10978750	7.9	37
tt10979976	6.8	26
tt1098268	4.1	18
tt10985682	8.4	286
tt10999274	9.2	23
tt11004134	5.8	1147
tt1104970	7.3	39
tt11052120	7.0	96
tt1105586	8.7	16
tt11100826	7.7	22
tt11101140	6.1	905
tt1111847	4.7	112
tt11126150	5.8	5
tt11131862	5.4	8
tt11170862	9.0	8148
tt11177312	2.2	5
tt1118042	8.0	237
tt11187526	7.7	23
tt11189294	7.2	8
tt11202076	5.4	12
tt1122331	6.7	37
tt1124062	3.7	308
tt1124356	5.0	58
tt11254678	9.7	29
tt11262528	8.0	16
tt11269552	6.8	7
tt11274898	8.3	32
tt11277854	9.1	58
tt11299474	8.6	75
tt11304754	7.2	8
tt1130486	5.8	9
tt11307038	7.5	100
tt1132290	7.6	59158
tt11342986	7.2	2641
tt11347114	5.1	15
tt11349960	4.0	860
tt1137429	6.4	690
tt11383908	8.1	16
tt1142706	8.5	390
tt11434664	5.9	31
tt1144410	7.5	231
tt11454854	6.7	13
tt11465274	6.2	238
tt1147366	6.8	35
tt11474562	6.5	13
tt11489096	3.5	41
tt11492864	8.7	110
tt11498686	6.3	18
tt1151168	4.1	20
tt11544946	5.4	5
tt11548214	5.6	21
tt11587812	6.5	67
tt11590094	8.6	17
tt11596200	6.9	17
tt11597332	8.9	48
tt1159833	6.6	26
tt1159993	6.2	346
tt11604390	7.9	60
tt11615082	8.1	10
tt11634296	7.2	54
tt11640164	8.0	22
tt11656584	8.2	27
tt1166709	5.6	2071
tt11668838	6.6	9
