tconst	parentTconst	seasonNumber	episodeNumber
tt32776123	tt32748940	1.0	2532.0
tt13988552	tt13986288	1.0	7.0
tt12604994	tt0366019		
tt7322584	tt3418252		
tt1206791	tt0302162	2.0	2.0
tt10265300	tt7973020	1.0	6.0
tt12249290	tt0313091	6.0	202.0
tt1614150	tt1392026	1.0	12.0
tt13645550	tt0475913	3.0	21.0
tt3705664	tt3651388	7.0	8.0
tt12207024	tt0313091	9.0	68.0
tt10329940	tt0242750	5.0	66.0
tt2857422	tt0196249	1.0	98.0
tt13754824	tt0355103	7.0	195.0
tt30269935	tt30254746	1.0	4029.0
tt15985028	tt15941254		
tt31576403	tt11459148	17.0	55.0
tt15095572	tt0294128	1.0	17.0
tt2015972	tt2009083	1.0	20.0
tt3842656	tt2487090	1.0	34.0
tt4839998	tt0262163		
tt16984898	tt11202076	1.0	607.0
tt1455388	tt1001474	2.0	7.0
tt29921895	tt27757890	1.0	11.0
tt11608834	tt11519034		
tt10057548	tt7781460	1.0	439.0
tt1889225	tt0092325	1.0	6045.0
tt10712436	tt10467640	1.0	1.0
tt29667711	tt0321022	1.0	422.0
tt1137589	tt0177440	9.0	41.0
tt30468067	tt30457355	1.0	411.0
tt34683602	tt7156778	4.0	5.0
tt20160114	tt19897990	2.0	2.0
tt9473492	tt7745218	1.0	209.0
tt16151510	tt0179055	1.0	1044.0
tt11799142	tt10006526		
tt12975890	tt12917640	1.0	4.0
tt8847266	tt0068069	1.0	1100.0
tt32777574	tt21838440		
tt14928852	tt13751324	1.0	174.0
tt2146895	tt0077083	1.0	5.0
tt8794834	tt0209791	1.0	133.0
tt1350434	tt1343863	1.0	1.0
tt12157354	tt12105192	1.0	3.0
tt1444585	tt0092325	1.0	3338.0
tt7683290	tt3921712	4.0	17.0
tt8432604	tt0209700	1.0	185.0
tt6228564	tt6199220		
tt15331846	tt2761480	9.0	2.0
tt7582370	tt0271054	1.0	128.0
tt5246036	tt3109150	10.0	8.0
tt13953420	tt12587386	1.0	230.0
tt1113347	tt0997196	1.0	72.0
tt31797879	tt31794638	1.0	13.0
tt33859917	tt33668940		
tt32515923	tt0804084		
tt16457358	tt16453688		
tt9150396	tt4368630		
tt7744196	tt0787986	16.0	1.0
tt8858476	tt8736450	3.0	15.0
tt14281536	tt0439907	6.0	14.0
tt18264346	tt2907906	7.0	4.0
tt11430424	tt0128176	1.0	1832.0
tt10761864	tt0407423	50.0	70.0
tt16938554	tt13779362	1.0	48.0
tt14658696	tt14519216	1.0	280.0
tt0985566	tt0069658	1.0	7835.0
tt4571498	tt4403914	23.0	4.0
tt16072502	tt15936106		
tt4776540	tt1878538	7.0	12.0
tt14109364	tt6973542		
tt30522746	tt15234990	1.0	707.0
tt14208798	tt8477610		
tt10310064	tt5336172	7.0	2.0
tt25506340	tt25505730	1.0	13.0
tt18232734	tt0088580	1.0	8808.0
tt35659638	tt0162076	34.0	133.0
tt14297154	tt12657920	1.0	627.0
tt2889354	tt1147366		
tt5734460	tt0437005	16.0	1.0
tt5444514	tt5435390	1.0	3.0
tt4268578	tt0889154	1.0	114.0
tt3682524	tt1759761	4.0	4.0
tt35500705	tt28141548	1.0	91.0
